txId_mapped,in_degree,out_degree,total_degree,pagerank,clustering_coefficient,betweenness_centrality,risk_exposure_score,mean_transaction_amount,sum_transaction_amount,min_transaction_amount,max_transaction_amount,std_transaction_amount,wallet_transaction_count,wallet_aml_label
153829,1,1,2,4.639401930276042e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
56603,1,1,2,5.935543764689101e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
56491,1,2,3,7.4424584573067215e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
137581,160,1,161,0.0003506357650706342,0.00031055900621118014,0.0,0.0,12.414557565154295,12.414557565154295,12.414557565154295,12.414557565154295,,1,0
161357,2,8,10,2.4030026904601184e-06,0.13333333333333333,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
161275,4,6,10,3.1241535375624036e-06,0.12222222222222222,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
135844,0,2,2,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
187721,2,1,3,1.1776720303079827e-05,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
54698,0,2,2,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
58036,59,1,60,8.52290876511249e-05,0.0005649717514124294,0.0,0.0,0.8513045980655529,0.8513045980655529,0.8513045980655529,0.8513045980655529,,1,0
120774,0,2,2,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
57154,1,1,2,2.5655121234293693e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
149178,1,1,2,6.056682536384229e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
150333,2,1,3,1.7075212353366304e-05,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
125940,1,2,3,3.885944583967232e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
56452,2,2,4,1.1987493161284388e-05,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
144253,1,1,2,1.7944213926749339e-06,0.0,0.0,0.0,0.2427123366398294,0.2427123366398294,0.2427123366398294,0.2427123366398294,,1,0
141224,1,1,2,3.350516966596618e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
151047,1,1,2,7.4424584573067215e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
75159,1,1,2,7.4424584573067215e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
139729,0,2,2,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
34321,1,1,2,2.5655121234293693e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
190750,0,1,1,1.7877641509957557e-06,0.0,0.0,0.0,0.2427123366398294,0.2427123366398294,0.2427123366398294,0.2427123366398294,,1,2
54579,8,2,10,9.565243875331893e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
131991,1,1,2,3.885944583967232e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
131990,1,0,1,5.935543764689101e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
60150,0,2,2,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
144139,6,1,7,3.461752742829544e-05,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
162631,1,2,3,2.4268593521968864e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
179512,21,0,21,3.26349777951407e-05,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
62596,1,2,3,2.5655121234293693e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
144264,3,0,3,8.877628958653429e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
158239,1,1,2,4.615111304151239e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
120526,1,2,3,5.392859276584852e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
29317,1,2,3,4.389074100258596e-06,0.16666666666666666,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
182545,14,0,14,5.453459157290462e-05,0.016483516483516484,0.0,0.0,3.89426590519417,3.89426590519417,3.89426590519417,3.89426590519417,,1,2
60486,1,1,2,4.615111304151239e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
26984,1,0,1,5.392859276584852e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
175426,1,1,2,7.4424584573067215e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
109878,1,1,2,7.4424584573067215e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
7693,1,1,2,3.343260095862983e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
187643,2,1,3,5.206377044505095e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
30549,2,1,3,1.159023807100007e-05,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
103639,2,1,3,1.4182521739826187e-05,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
59057,0,2,2,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
163546,1,1,2,2.5655121234293693e-06,0.0,0.0,0.0,0.2427123366398294,0.2427123366398294,0.2427123366398294,0.2427123366398294,,1,2
188135,0,2,2,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
113022,49,1,50,5.779875648828594e-05,0.006122448979591836,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
37428,1,1,2,3.213583040635899e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
152091,1,2,3,4.639401930276042e-06,0.16666666666666666,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
67212,1,2,3,3.343260095862983e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
19419,1,1,2,3.108196611533618e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
164491,0,2,2,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
156046,4,1,5,7.231999958031052e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
100181,0,1,1,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
29426,2,0,2,1.5568297660748684e-05,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
198453,0,2,2,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
67408,1,1,2,2.5655121234293693e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
202341,2,1,3,8.195915803615534e-06,0.0,0.0,0.0,1.155600728778415,1.155600728778415,1.155600728778415,1.155600728778415,,1,2
99920,1,0,1,7.4424584573067215e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
136013,1,2,3,7.4424584573067215e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
129178,106,0,106,0.00033865275492263216,0.0004492362982929021,0.0,0.0,1.155600728778415,1.155600728778415,1.155600728778415,1.155600728778415,,1,0
106696,1,1,2,5.700480280359738e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
137339,3,0,3,1.051152633647075e-05,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
143656,0,1,1,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
143662,1,1,2,3.343260095862983e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
100620,1,2,3,3.382023273584715e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
200141,1,1,2,3.1620149934128193e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
147553,1,1,2,3.885944583967232e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
56601,1,0,1,5.935543764689101e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
173331,1,1,2,8.949373149924344e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
161608,1,0,1,7.4424584573067215e-06,0.0,0.0,0.0,4.502858166619894,4.502858166619894,4.502858166619894,4.502858166619894,,1,2
153332,1,2,3,7.4424584573067215e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
129604,1,2,3,4.615111304151239e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
198636,4,2,6,4.079478766159614e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
198278,134,0,134,0.00017320279370082497,0.001178318931657502,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
138871,1,1,2,2.5655121234293693e-06,0.5,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
106751,1,1,2,3.343260095862983e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
154110,1,2,3,4.428629072071482e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
73660,0,1,1,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
175092,1,1,2,3.343260095862983e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
19636,1,1,2,3.343260095862983e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
19322,1,1,2,4.428629072071482e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
185621,0,2,2,1.7877641509957557e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
104826,1,1,2,2.5655121234293693e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
160030,1,2,3,4.207354652138355e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
153169,97,0,97,0.00020927013075438397,0.000429553264604811,0.0,0.0,0.8513045980655529,0.8513045980655529,0.8513045980655529,0.8513045980655529,,1,0
181633,1,2,3,2.5655121234293693e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
181635,1,2,3,2.836854367481494e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
175499,1,2,3,3.343260095862983e-06,0.16666666666666666,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
153168,143,0,143,0.00023798224982361018,0.0005417118093174431,0.0,0.0,1.155600728778415,1.155600728778415,1.155600728778415,1.155600728778415,,1,0
19500,1,1,2,3.343260095862983e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
106487,2,1,3,5.206377044505095e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
175861,1,2,3,7.4424584573067215e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
88193,1,1,2,4.615111304151239e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
172668,3,10,13,4.268555669050847e-05,0.0641025641025641,0.0,0.0,0.5470084673526912,0.5470084673526912,0.5470084673526912,0.5470084673526912,,1,2
172739,1,1,2,3.7728476404426845e-06,0.5,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,0
138261,1,1,2,9.492057638028595e-06,0.0,0.0,0.0,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,-0.0615837940730322,,1,2
